player,matchs_chartes,ace_pct,df_pct,first_in_pct,first_won_pct,second_won_pct,bp_saved_pct,return_won_pct,winners_match,ue_match,w_ue_ratio,fh_winners_match,bh_winners_match
Denis Istomin,11,8.8,2.6,66.7,69.4,46.4,56.3,30.8,22.3,23.2,0.96,10.1,4.6
Dominik Koepfer,11,5.6,3.3,64.2,69.7,52.5,64.2,33.3,28.4,32.5,0.87,12.4,8.3
Jarkko Nieminen,11,3.6,2.3,67.1,59.9,46.3,50.6,31.1,16.0,21.4,0.75,8.5,5.2
Andrei Chesnokov,11,3.6,1.8,61.7,63.4,52.2,61.1,40.1,33.6,35.8,0.94,12.5,15.8
Thomas Johansson,11,10.8,3.9,53.5,77.2,48.0,58.2,34.1,33.5,32.3,1.04,11.9,9.8
Alex Molcan,11,4.5,3.5,65.9,65.7,53.4,59.0,34.5,24.0,34.1,0.7,12.8,5.8
Benjamin Bonzi,11,7.7,3.0,61.9,71.7,55.1,65.0,35.2,28.0,29.4,0.95,10.5,7.7
Pablo Cuevas,11,9.6,3.1,62.4,73.6,58.4,66.7,36.1,19.1,21.5,0.89,8.0,3.8
Viktor Troicki,11,8.2,2.9,60.4,65.4,37.5,50.6,31.7,18.5,27.8,0.67,6.4,5.3
Andrei Medvedev,11,6.3,3.3,60.6,69.1,50.1,44.9,37.2,27.9,32.6,0.86,14.1,8.4
Otto Virtanen,11,12.1,5.1,58.1,72.9,46.8,64.9,34.5,37.8,40.6,0.93,17.5,5.2
Mario Ancic,11,7.9,3.2,60.1,72.2,42.8,56.0,28.1,20.8,23.9,0.87,8.4,5.9
Marc Rosset,11,12.0,5.7,57.2,76.3,46.3,64.4,32.1,38.3,34.0,1.13,15.8,8.1
Guillermo Garcia Lopez,10,6.1,3.9,56.1,75.6,50.1,61.5,36.3,22.7,20.6,1.1,12.0,4.9
Malivai Washington,10,7.8,2.9,57.8,67.7,52.5,52.6,32.7,29.7,25.8,1.15,13.0,9.0
Lukas Rosol,10,7.1,3.8,60.0,67.3,48.9,52.7,30.2,31.4,36.1,0.87,17.4,7.6
Mattia Bellucci,10,8.0,4.7,61.6,71.5,49.8,70.4,34.4,22.3,28.6,0.78,9.1,4.3
Hamad Medjedovic,10,11.9,5.9,63.0,73.8,45.4,63.5,28.7,38.3,40.2,0.95,13.0,6.1
Marcel Granollers,10,5.0,4.5,56.0,69.3,46.1,60.5,36.4,17.5,20.7,0.85,7.0,6.8
Nicolas Kiefer,10,9.0,5.3,53.7,71.5,42.5,61.7,30.8,20.9,30.8,0.68,8.8,5.0
Rafael Jodar,10,4.7,1.8,62.9,68.6,47.6,60.6,39.3,24.4,26.0,0.94,10.5,3.8
James Duckworth,10,8.6,2.6,56.4,73.1,48.3,68.4,25.4,25.6,24.8,1.03,11.0,4.2
Valentin Vacherot,10,8.1,3.5,65.7,72.2,50.4,62.5,33.0,24.1,25.9,0.93,10.9,4.7
Ethan Quinn,10,9.6,4.5,61.7,72.2,50.6,67.9,36.8,28.5,34.1,0.84,15.7,4.1
Federico Coria,10,3.6,3.1,67.8,60.0,47.1,46.7,37.7,15.3,24.1,0.63,6.8,2.8
Jonas Svensson,10,2.3,2.2,64.4,63.7,49.4,51.5,35.9,27.2,32.8,0.83,11.4,13.1
Miloslav Mecir,9,1.1,2.6,66.5,58.5,46.9,49.2,38.9,35.7,47.9,0.74,16.7,17.4
Nicolas Mahut,9,13.9,4.3,64.6,80.3,56.2,75.0,29.0,54.0,28.1,1.92,21.3,12.6
Camilo Ugo Carabelli,9,4.1,4.0,59.1,65.7,45.8,58.7,40.0,20.6,29.7,0.69,12.0,4.2
Francisco Comesana,9,11.9,4.0,68.0,70.7,41.6,53.7,33.8,25.4,25.0,1.02,10.6,4.1
Paul Henri Mathieu,9,3.9,3.2,58.3,65.8,46.6,55.1,32.9,22.2,28.2,0.79,9.6,8.1
Florian Mayer,9,5.9,0.9,64.0,66.8,48.5,59.4,29.9,17.2,19.3,0.89,7.0,4.9
Sebastian Ofner,9,4.8,3.1,57.9,67.4,48.2,56.5,35.0,23.7,30.4,0.78,12.4,5.8
Gaston Gaudio,9,3.1,6.3,61.0,64.0,42.4,53.7,40.4,26.4,37.7,0.7,13.4,9.4
Bernabe Zapata Miralles,9,3.6,2.1,70.8,63.9,50.8,61.4,36.8,22.9,29.2,0.78,13.4,5.7
Yannick Noah,9,7.8,2.6,53.3,68.1,50.5,59.6,41.4,39.8,32.7,1.22,18.8,11.9
Carlos Berlocq,9,3.9,4.3,62.4,66.5,44.4,53.0,39.8,19.3,23.1,0.84,8.4,7.0
Paolo Lorenzi,9,8.3,4.3,55.8,74.4,48.1,65.8,31.9,27.0,28.8,0.94,11.2,7.3
Thomaz Bellucci,9,6.5,3.2,60.4,68.3,51.7,56.9,32.6,21.9,35.0,0.63,12.2,3.9
Jiri Vesely,9,11.7,5.7,64.6,77.9,50.2,65.5,36.0,33.9,29.2,1.16,11.6,9.4
Andrei Pavel,9,5.7,3.1,61.8,68.2,49.3,52.7,33.5,25.7,22.6,1.14,10.2,10.1
Juan Pablo Varillas,9,5.7,2.2,60.8,67.2,50.3,59.5,36.1,26.8,35.3,0.76,14.6,5.3
Jared Donaldson,9,5.6,3.8,52.0,72.3,56.9,52.9,38.8,22.4,20.4,1.1,8.8,4.8
Jerzy Janowicz,9,10.0,6.5,62.6,73.1,48.4,67.1,29.8,28.0,32.4,0.86,14.0,5.1
Hugo Dellien,9,1.4,1.6,72.4,60.2,47.1,65.5,33.7,22.8,31.4,0.72,14.4,4.6
Juan Ignacio Londero,9,4.4,3.9,59.3,67.6,48.0,65.0,38.9,25.8,32.8,0.79,16.7,5.4
