id,nom_local,type_local,building_id,nom_batiment,latitude,longitude,dgfip_reference_norm,created_at
2437,BASE NAUTIQUE FRANCOISE PASCAL,PRINCIPAL,1166,BASE NAUTIQUE FRANCOISE PASCAL,,,,2026-08-20 07:56:09.694095+00
2438,CAP CARAIBES,PRINCIPAL,1167,CAP CARAIBES,,,,2026-08-20 07:56:09.813759+00
2439,"BENEZEH, SERVICE DES SPORTS, ANNEXE 2 HOTEL DE VILLE",PRINCIPAL,1168,"BENEZEH, SERVICE DES SPORTS, ANNEXE 2 HOTEL DE VILLE",,,,2026-08-20 07:56:09.868305+00
2440,BOURSE DU TRAVAIL,PRINCIPAL,1169,BOURSE DU TRAVAIL,,,,2026-08-20 07:56:09.987748+00
2441,WC CAPITAINERIE DES QUILLES,PRINCIPAL,1170,WC CAPITAINERIE DES QUILLES,,,,2026-08-20 07:56:10.10843+00
2442,COMPLEXE DOUCHES ET WC CASTELLAS,PRINCIPAL,1171,COMPLEXE DOUCHES ET WC CASTELLAS,,,,2026-08-20 07:56:10.22975+00
2443,POSTE DE SECOURS CASTELLAS,PRINCIPAL,1172,POSTE DE SECOURS CASTELLAS,,,,2026-08-20 07:56:10.348761+00
2444,CENTRE COMMERCIAL BLVD CHEV DE CLERVILLE - SYNAGOGUE - DIVERS ASSOCIATIONS,PRINCIPAL,1173,CENTRE COMMERCIAL BLVD CHEV DE CLERVILLE - SYNAGOGUE - DIVERS ASSOCIATIONS,,,,2026-08-20 07:56:10.469497+00
2445,ATELIER DE PEDAGOGIE PERSONNALISEE A.P.P.,PRINCIPAL,1174,ATELIER DE PEDAGOGIE PERSONNALISEE A.P.P.,,,,2026-08-20 07:56:10.588504+00
2446,CENTRE DE FORMATION DES APPRENTIS NICOLAS ALBANOS,PRINCIPAL,1175,CENTRE DE FORMATION DES APPRENTIS NICOLAS ALBANOS,,,,2026-08-20 07:56:10.70502+00
2447,CENTRE NAUTIQUE MIAILLE MUNOZ,PRINCIPAL,1177,CENTRE NAUTIQUE MIAILLE MUNOZ,,,,2026-08-20 07:56:10.937935+00
2448,CENTRE TECHNIQUE MUNICIPAL,PRINCIPAL,1179,CENTRE TECHNIQUE MUNICIPAL,,,,2026-08-20 07:56:11.172823+00
2449,CENTRE ULM,PRINCIPAL,1180,CENTRE ULM,,,,2026-08-20 07:56:11.225324+00
2450,CHAPELLE DU QUARTIER HAUT,PRINCIPAL,1181,CHAPELLE DU QUARTIER HAUT,,,,2026-08-20 07:56:11.344463+00
2451,CIMETIERE LE PY,PRINCIPAL,1182,CIMETIERE LE PY,,,,2026-08-20 07:56:11.459671+00
2452,LOG. DE FONCTION CIMETIERE MARIN,PRINCIPAL,1183,LOG. DE FONCTION CIMETIERE MARIN,,,,2026-08-20 07:56:11.577673+00
2453,PISCINE BIASCAMANO,PRINCIPAL,1185,PISCINE BIASCAMANO,,,,2026-08-20 07:56:11.745367+00
2454,SALLE MULTIACTIVITE DU BARROU,PRINCIPAL,1187,SALLE MULTIACTIVITE DU BARROU,,,,2026-08-20 07:56:11.979601+00
2455,SALLE TENNIS CLUB DU BARROU,PRINCIPAL,1188,SALLE TENNIS CLUB DU BARROU,,,,2026-08-20 07:56:12.096923+00
2456,GYMNASE MAURICE VIE,PRINCIPAL,1189,GYMNASE MAURICE VIE,,,,2026-08-20 07:56:12.216973+00
2457,HALLES DES SPORTS MARTY,PRINCIPAL,1190,HALLES DES SPORTS MARTY,,,,2026-08-20 07:56:12.340737+00
2458,BATCOPROPRIETE 14 RUE REMY BELLEAU,PRINCIPAL,1193,BATCOPROPRIETE 14 RUE REMY BELLEAU,,,,2026-08-20 07:56:12.693677+00
2459,WC PUBLIC,PRINCIPAL,1194,WC PUBLIC,,,,2026-08-20 07:56:12.811148+00
2460,MAISON GARDIEN DECHETTERIE SETE,PRINCIPAL,1195,MAISON GARDIEN DECHETTERIE SETE,,,,2026-08-20 07:56:12.933024+00
2461,ESPACE DE L AMITIE ABEL APARICI AMICALE DES SAINTS CLAIRIENS,PRINCIPAL,1196,ESPACE DE L AMITIE ABEL APARICI AMICALE DES SAINTS CLAIRIENS,,,,2026-08-20 07:56:13.052913+00
2462,ANTENNE DU ST CLAIR,PRINCIPAL,1197,ANTENNE DU ST CLAIR,,,,2026-08-20 07:56:13.17269+00
