id_ligne;source_fichier;page_source_pdf;ordre_dans_page;code_niveau_1;libelle_niveau_1;code_niveau_2;libelle_niveau_2;niveau_3;niveau_4;niveau_5;equipement;sypemi_mini_annees;sypemi_reference_annees;sypemi_maxi_annees;votre_proposition_mini_annees;votre_proposition_reference_annees;votre_proposition_maxi_annees;fiche_cee
79;Guide de durée de vie d'un matériel .pdf;6;20;A.1;Ouvrages;A.1.3;Les Aménagements Intérieurs et les petits travaux de Second-Œuvre;Revêtements;;;Sol PVC;8;10;15;;;;
80;Guide de durée de vie d'un matériel .pdf;6;21;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Distribution;;;Réseau;;30;;;;;
81;Guide de durée de vie d'un matériel .pdf;6;22;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Distribution;;;Disconnecteur, clapet;15;20;25;;;;
82;Guide de durée de vie d'un matériel .pdf;6;23;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Distribution;;;Vanne;10;15;20;;;;
83;Guide de durée de vie d'un matériel .pdf;6;24;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Distribution;;;Robinetterie;10;15;20;;;;
84;Guide de durée de vie d'un matériel .pdf;6;25;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Distribution;;;Soupape;12;15;20;;;;
85;Guide de durée de vie d'un matériel .pdf;6;26;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Distribution;;;Régulateur de débit, limiteur de pression (Robinet Thermostatique);15;20;25;;;;BAT-TH-104
86;Guide de durée de vie d'un matériel .pdf;6;27;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Distribution;;;Systèmes hydro-économes (Mousseur);;6;;;;;BAT-EQ-133
87;Guide de durée de vie d'un matériel .pdf;6;28;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Distribution;;;Manomètre, thermomètre;;20;;;;;
88;Guide de durée de vie d'un matériel .pdf;6;29;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Distribution;;;Pompes, surpresseur;;20;;;;;
89;Guide de durée de vie d'un matériel .pdf;6;30;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Traitement d’eau (adoucisseur, traitement anticorrosion);;;Adoucisseur;10;12;15;;;;
90;Guide de durée de vie d'un matériel .pdf;6;31;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Traitement d’eau (adoucisseur, traitement anticorrosion);;;Bac à sel;10;12;15;;;;
91;Guide de durée de vie d'un matériel .pdf;6;32;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Traitement d’eau (adoucisseur, traitement anticorrosion);;;Pompe doseuse;4;5;6;;;;
92;Guide de durée de vie d'un matériel .pdf;6;33;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Traitement d’eau (adoucisseur, traitement anticorrosion);;;Filtre à sable;10;12;15;;;;
93;Guide de durée de vie d'un matériel .pdf;6;34;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Eau chaude sanitaire (chauffe-eau électrique, à gaz ou autre, vannes, tuyauteries, maintien en température);;;Chauffe-eau solaire collectif (Logement collectif);15;22;22;;;;BAR-TH-102
94;Guide de durée de vie d'un matériel .pdf;6;35;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Eau chaude sanitaire (chauffe-eau électrique, à gaz ou autre, vannes, tuyauteries, maintien en température);;;Chauffe-eau solaire individuel;12;20;20;;;;BAR-TH-101
95;Guide de durée de vie d'un matériel .pdf;6;36;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Eau chaude sanitaire (chauffe-eau électrique, à gaz ou autre, vannes, tuyauteries, maintien en température);;;Chauffe-eau thermodynamique individuel à accumulation;10;17;17;;;;BAR-TH-148
